,0
423,8
424,20
425,12
426,36
427,10
428,32
429,14
430,26
431,50
432,21
433,4
434,2
435,22
436,24
437,41
438,20
439,24
440,11
441,27
442,21
443,36
444,26
445,21
446,19
447,23
448,15
449,39
450,3
451,8
452,20
453,5
454,52
455,20
456,8
457,22
458,21
459,24
460,23
461,12
462,16
463,35
464,11
465,15
466,12
467,6
468,4
469,22
470,28
471,36
472,11
473,25
474,16
475,36
476,8
477,23
478,31
479,10
480,2
481,23
482,27
483,20
484,7
485,17
486,9
487,5
488,15
489,26
490,15
491,28
492,17
493,7
494,27
495,44
496,19
497,28
498,1
499,19
500,33
501,27
502,24
503,35
504,34
505,6
506,14
507,13
508,24
509,31
510,33
511,35
512,2
513,14
514,18
515,10
516,22
517,28
518,3
519,41
520,24
521,18
522,18
523,6
524,37
525,15
526,24
527,20
528,16
529,22
530,14
531,30
532,28
533,1
534,16
535,28
536,38
537,8
538,17
539,17
540,19
541,21
542,6
543,2
544,21
545,4
546,9
547,2
548,10
549,26
550,20
551,18
552,10
553,17
554,41
555,19
556,30
557,12
558,12
559,10
560,7
561,32
562,22
563,25
564,27
565,16
566,21
567,10
568,25
569,23
570,20
571,10
572,10
573,5
574,42
575,17
576,6
577,7
578,7
579,10
580,34
581,10
582,11
583,2
584,17
585,28
586,17
587,22
588,19
589,3
590,21
591,37
592,27
593,22
594,28
595,5
596,19
597,8
598,31
599,25
600,10
601,44
602,4
603,12
604,48
605,12
606,14
607,1
608,35
609,5
610,12
611,12
612,27
613,21
614,48
615,14
616,11
617,12
618,3
619,21
620,4
621,17
622,9
623,24
624,8
625,12
626,5
627,21
628,9
629,25
630,24
631,31
632,36
633,1
634,40
635,22
636,28
637,9
638,2
639,13
640,5
641,11
642,19
643,17
644,11
645,16
646,16
647,10
648,9
649,24
650,24
651,1
652,8
653,19
654,32
655,11
656,9
657,22
658,16
659,4
660,40
661,16
662,9
663,12
664,4
665,10
666,10
667,24
668,9
669,15
670,16
671,21
672,17
673,24
674,17
675,29
676,8
677,31
678,39
679,5
680,16
681,23
682,15
683,18
684,24
685,20
686,15
687,12
688,4
689,29
690,21
691,21
692,4
693,6
694,4
695,11
696,1
697,10
698,12
699,18
700,9
701,19
702,19
703,13
704,14
705,16
706,9
707,7
708,4
709,24
710,17
711,20
712,17
713,19
714,1
715,18
716,32
717,25
718,17
719,28
720,25
721,14
722,6
723,16
724,20
725,4
726,33
727,15
728,12
729,11
730,3
731,20
732,29
733,8
734,24
735,31
736,24
737,37
738,31
739,17
740,7
741,32
742,13
743,11
744,17
745,23
746,17
747,18
748,21
749,12
750,20
751,22
752,29
753,19
754,10
755,14
756,28
757,34
758,13
759,8
760,30
761,32
762,22
763,26
764,9
765,29
766,38
767,25
768,21
769,19
770,25
771,28
772,31
773,16
774,38
775,17
776,25
777,33
778,5
779,23
780,22
781,14
782,19
783,7
784,26
785,6
786,15
787,19
788,31
789,3
790,12
791,46
792,46
793,12
794,3
795,24
796,13
797,16
798,19
799,19
800,26
801,29
802,9
803,20
804,32
805,28
806,33
807,16
808,25
809,2
810,6
811,17
812,34
813,11
814,7
815,13
816,17
817,38
818,30
819,27
820,8
821,12
822,35
823,17
824,1
825,4
826,16
827,31
828,9
829,22
830,30
831,21
832,32
833,20
834,39
835,32
836,20
837,12
838,18
839,12
840,20
841,16
842,33
843,26
844,22
845,15
846,20
847,41
848,32
849,17
850,38
851,32
852,28
853,22
854,10
855,31
856,32
857,17
858,30
859,26
860,27
861,43
862,30
863,12
864,29
865,40
866,47
867,23
868,44
869,33
870,32
871,32
872,30
873,20
874,39
875,22
876,54
877,34
878,18
879,21
880,36
881,42
882,39
883,22
884,35
885,14
886,13
887,28
888,11
889,10
890,18
891,19
892,29
893,21
894,16
895,27
896,20
897,18
898,26
899,27
900,22
901,27
902,32
903,24
904,33
905,35
906,26
907,32
908,16
909,18
910,34
911,36
912,5
913,27
914,37
915,44
916,31
917,31
918,19
919,44
920,21
921,39
922,20
923,28
924,33
925,28
926,36
927,29
928,38
929,48
930,12
931,32
932,30
933,23
934,49
935,28
936,19
937,29
938,32
939,30
940,17
941,30
942,38
943,14
944,26
945,28
946,21
947,18
948,29
949,49
950,33
951,41
952,18
953,6
954,43
955,48
956,37
957,42
958,46
959,33
960,5
961,54
962,40
963,44
964,33
965,10
966,24
967,42
968,41
969,35
970,24
971,29
972,53
973,32
974,34
975,24
976,31
977,10
978,20
979,23
980,41
981,28
982,1
983,51
984,51
985,27
986,28
987,19
988,30
989,31
990,31
991,29
992,16
993,23
994,47
995,30
996,14
997,24
998,28
999,11
1000,45
1001,29
1002,24
1003,52
1004,7
1005,25
1006,54
1007,6
1008,17
1009,14
1010,48
1011,37
1012,53
1013,21
1014,16
1015,11
1016,15
1017,42
1018,17
1019,30
1020,12
1021,14
1022,21
1023,3
1024,1
1025,40
1026,13
1027,31
1028,12
1029,2
1030,52
1031,23
1032,19
1033,19
1034,30
1035,38
1036,9
1037,42
1038,25
1039,24
1040,16
1041,39
1042,16
1043,14
1044,25
1045,10
1046,17
1047,13
1048,26
1049,31
1050,52
1051,33
1052,48
1053,42
1054,25
1055,13
1056,17
1057,27
1058,19
1059,13
1060,28
1061,10
1062,20
1063,40
1064,41
1065,36
1066,8
1067,20
1068,31
1069,27
1070,3
1071,9
1072,18
1073,38
1074,41
1075,24
1076,15
1077,27
1078,37
1079,21
1080,45
1081,15
1082,31
1083,20
1084,18
1085,39
1086,39
1087,31
1088,14
1089,17
1090,48
1091,2
1092,22
1093,21
1094,34
1095,41
1096,4
1097,17
1098,13
1099,29
1100,8
1101,21
1102,35
1103,24
1104,35
1105,27
1106,42
1107,1
1108,26
1109,22
1110,3
1111,42
1112,31
1113,53
1114,44
1115,52
1116,29
1117,34
1118,11
1119,27
1120,41
1121,20
1122,27
1123,7
1124,46
1125,12
1126,47
1127,41
1128,23
1129,38
1130,35
1131,14
1132,41
1133,45
1134,7
1135,22
1136,29
1137,37
1138,39
1139,52
1140,17
1141,49
1142,27
1143,15
1144,42
1145,44
1146,18
1147,2
1148,55
1149,48
1150,30
1151,56
1152,35
1153,22
1154,22
1155,10
1156,11
1157,2
1158,50
1159,21
1160,13
1161,13
1162,38
1163,44
1164,24
1165,19
1166,46
1167,2
1168,48
1169,22
1170,52
1171,9
1172,37
1173,38
1174,45
1175,33
1176,42
1177,45
1178,33
1179,32
1180,27
1181,30
1182,22
1183,47
1184,38
1185,25
1186,22
1187,23
1188,21
1189,26
1190,37
1191,28
1192,48
1193,8
1194,16
1195,43
1196,25
1197,18
1198,26
1199,45
1200,8
1201,38
1202,41
1203,12
1204,16
1205,5
1206,16
1207,9
1208,2
1209,22
1210,15
1211,9
1212,13
1213,29
1214,3
1215,29
1216,45
1217,14
1218,28
1219,8
1220,25
1221,16
1222,20
1223,1
1224,39
1225,24
1226,10
1227,20
1228,13
1229,23
1230,22
1231,16
1232,8
1233,30
1234,20
1235,12
1236,47
1237,26
1238,39
1239,3
1240,43
1241,10
1242,17
1243,17
1244,14
1245,17
1246,20
1247,29
1248,18
1249,24
1250,9
1251,12
1252,37
1253,11
1254,14
1255,2
1256,7
1257,28
1258,6
1259,28
1260,15
1261,31
1262,24
1263,21
1264,16
1265,12
1266,38
1267,35
1268,45
1269,20
1270,5
1271,4
1272,9
1273,48
1274,31
1275,14
1276,11
1277,21
1278,24
1279,9
1280,11
1281,35
1282,14
1283,4
1284,18
1285,15
1286,22
1287,34
1288,4
1289,41
1290,10
1291,5
1292,2
1293,46
1294,12
1295,31
1296,2
1297,10
1298,18
1299,1
1300,4
1301,1
1302,2
1303,12
1304,33
1305,4
1306,38
1307,7
1308,52
1309,15
1310,42
1311,44
1312,26
1313,49
1314,22
1315,10
1316,28
1317,10
1318,19
1319,15
1320,25
1321,2
1322,46
1323,25
1324,31
1325,15
1326,15
1327,9
1328,47
1329,4
1330,6
1331,17
1332,13
1333,17
1334,54
1335,29
1336,21
1337,20
1338,7
1339,26
1340,19
1341,55
1342,10
1343,29
1344,28
1345,13
1346,21
1347,13
1348,27
1349,10
1350,5
1351,2
1352,4
1353,38
1354,6
1355,8
1356,20
1357,27
1358,12
1359,23
1360,11
1361,36
1362,22
1363,23
1364,9
1365,23
1366,55
1367,5
1368,32
1369,21
1370,26
1371,8
1372,29
1373,44
1374,3
1375,19
1376,20
1377,37
1378,25
1379,29
1380,31
1381,5
1382,4
1383,22
1384,21
1385,32
1386,43
1387,28
1388,30
1389,24
1390,13
1391,29
1392,13
1393,49
1394,25
1395,25
1396,11
1397,19
1398,14
1399,11
1400,34
1401,34
1402,32
1403,41
1404,26
1405,37
1406,41
1407,8
1408,36
1409,33
1410,20
1411,16
1412,7
1413,19
1414,22
1415,41
1416,12
1417,8
1418,1
1419,17
1420,11
1421,7
1422,21
1423,35
1424,18
1425,2
1426,15
1427,26
1428,38
1429,33
1430,10
1431,23
1432,43
1433,37
1434,17
1435,25
1436,21
1437,25
1438,28
1439,32
1440,12
1441,41
1442,25
1443,33
1444,15
1445,24
1446,35
1447,16
1448,28
1449,18
1450,27
1451,18
1452,25
1453,13
1454,19
1455,11
1456,21
1457,43
1458,19
1459,8
1460,42
1461,28
1462,36
1463,6
1464,17
1465,2
1466,34
1467,18
1468,42
1469,30
1470,7
1471,3
1472,3
1473,10
1474,16
1475,2
1476,45
1477,20
1478,49
1479,21
1480,30
1481,41
1482,14
1483,15
1484,48
1485,20
1486,17
1487,21
1488,41
1489,9
1490,5
1491,17
1492,7
1493,33
1494,41
1495,26
1496,32
1497,7
1498,15
1499,20
1500,33
1501,3
1502,57
1503,51
1504,25
1505,49
1506,41
1507,43
1508,25
1509,35
1510,18
1511,51
1512,11
1513,6
1514,22
1515,8
1516,12
1517,21
1518,8
1519,47
1520,17
1521,4
1522,25
1523,61
1524,36
1525,16
1526,7
1527,30
1528,8
1529,4
1530,25
1531,9
1532,9
1533,5
1534,18
1535,2
1536,10
1537,11
1538,19
1539,23
1540,4
1541,1
1542,7
1543,6
1544,30
1545,18
1546,6
1547,3
1548,17
1549,5
1550,52
1551,17
1552,35
1553,4
1554,13
1555,50
1556,29
1557,3
1558,33
1559,16
1560,20
1561,7
1562,28
1563,32
1564,3
1565,19
1566,24
1567,22
1568,42
1569,24
1570,8
1571,50
1572,1
1573,14
1574,21
1575,8
1576,37
1577,9
1578,10
1579,36
1580,15
1581,6
1582,15
1583,17
1584,15
1585,35
1586,26
1587,43
1588,45
1589,25
1590,44
1591,27
1592,30
1593,29
1594,40
1595,24
1596,24
1597,11
1598,28
1599,13
1600,37
1601,32
1602,13
1603,43
1604,6
1605,12
1606,37
1607,27
1608,22
1609,41
1610,30
1611,26
1612,49
1613,10
1614,16
1615,50
1616,31
1617,20
1618,34
1619,51
1620,19
1621,23
1622,51
1623,14
1624,48
1625,5
1626,41
1627,22
1628,10
1629,29
1630,38
1631,43
1632,24
1633,44
1634,16
1635,47
1636,42
1637,42
1638,45
1639,9
1640,36
1641,25
1642,36
1643,33
1644,48
1645,29
1646,31
1647,11
1648,36
1649,30
1650,5
1651,30
1652,2
1653,39
1654,14
1655,25
1656,37
1657,46
1658,39
1659,31
1660,25
1661,26
1662,37
1663,25
1664,56
1665,3
1666,45
1667,32
1668,39
1669,32
1670,7
1671,35
1672,35
1673,7
1674,45
1675,27
1676,29
1677,40
1678,36
1679,54
1680,46
1681,46
1682,38
1683,19
1684,41
1685,54
1686,28
1687,30
1688,30
1689,25
1690,33
1691,52
1692,50
1693,19
1694,16
1695,19
1696,3
1697,15
1698,11
1699,13
1700,12
1701,11
1702,9
1703,16
1704,10
1705,8
1706,5
1707,8
1708,15
1709,16
1710,8
1711,1
1712,18
1713,11
1714,25
1715,18
1716,24
1717,2
1718,8
1719,18
1720,27
1721,31
1722,17
1723,10
1724,4
1725,1
1726,17
1727,27
1728,4
1729,18
1730,11
1731,8
1732,16
1733,13
1734,26
1735,1
1736,6
1737,12
1738,27
1739,14
1740,25
1741,10
1742,23
1743,9
1744,35
1745,32
1746,17
1747,30
1748,6
1749,8
1750,17
1751,9
1752,1
1753,19
1754,25
1755,3
1756,25
1757,10
1758,8
1759,5
1760,9
1761,2
1762,18
1763,9
1764,13
1765,25
1766,12
1767,37
1768,2
1769,3
1770,8
1771,2
1772,23
1773,8
1774,9
1775,13
1776,21
1777,31
1778,18
1779,4
1780,2
1781,11
1782,14
1783,27
1784,37
1785,22
1786,33
1787,16
1788,16
1789,16
1790,37
1791,23
1792,9
1793,15
1794,28
1795,39
1796,26
1797,31
1798,6
1799,7
1800,25
1801,2
1802,17
1803,23
1804,27
1805,3
1806,21
1807,23
1808,24
1809,26
1810,28
1811,26
1812,15
1813,4
1814,18
1815,13
1816,27
1817,5
1818,36
1819,25
1820,5
1821,18
1822,11
1823,34
1824,8
1825,30
1826,5
1827,24
1828,26
1829,1
1830,12
1831,12
1832,1
1833,11
1834,1
1835,22
1836,15
1837,3
1838,9
1839,22
1840,18
1841,8
1842,7
1843,6
1844,32
1845,35
1846,20
1847,3
1848,8
1849,28
1850,11
1851,2
1852,18
1853,2
1854,34
1855,15
1856,8
1857,5
1858,18
1859,25
1860,3
1861,19
1862,13
1863,25
1864,17
1865,24
1866,37
1867,9
1868,30
1869,20
1870,17
1871,3
1872,29
1873,2
1874,14
1875,13
1876,21
1877,10
1878,9
1879,5
1880,30
1881,7
1882,2
1883,21
1884,16
1885,20
1886,15
1887,10
1888,6
1889,27
1890,15
1891,13
1892,29
1893,49
1894,4
1895,15
1896,35
1897,20
1898,19
1899,5
1900,36
1901,16
1902,11
1903,5
1904,13
1905,12
1906,23
1907,24
1908,6
1909,30
1910,19
1911,5
1912,16
1913,11
1914,24
1915,25
1916,8
1917,13
1918,29
1919,9
1920,16
1921,34
1922,27
1923,12
1924,37
1925,20
1926,28
1927,27
1928,17
1929,34
1930,3
1931,19
1932,9
1933,22
1934,48
1935,30
1936,8
1937,26
1938,32
1939,29
1940,15
1941,38
1942,27
1943,23
1944,19
1945,2
1946,38
1947,11
1948,23
1949,31
1950,24
1951,24
1952,33
1953,27
1954,31
1955,36
1956,17
1957,23
1958,24
1959,28
1960,15
1961,19
1962,8
1963,35
1964,17
1965,17
1966,17
1967,25
1968,29
1969,25
1970,10
1971,9
1972,24
1973,31
1974,43
1975,34
1976,39
1977,42
1978,8
1979,6
1980,10
1981,12
1982,26
1983,23
1984,29
1985,8
1986,17
1987,22
1988,26
1989,15
1990,5
1991,16
1992,45
1993,6
1994,10
1995,19
1996,15
1997,43
1998,9
1999,30
2000,6
2001,12
2002,13
2003,22
2004,10
2005,13
2006,19
2007,3
2008,12
2009,10
2010,13
2011,42
2012,12
2013,24
2014,18
2015,40
2016,41
2017,19
2018,19
2019,24
2020,10
2021,31
2022,60
2023,6
2024,35
2025,25
2026,28
2027,9
2028,6
2029,25
2030,37
2031,38
2032,22
2033,24
2034,39
2035,9
2036,39
2037,50
2038,10
2039,36
2040,20
2041,16
2042,21
2043,18
2044,7
2045,26
2046,28
2047,30
2048,18
2049,16
2050,17
2051,32
2052,45
2053,4
2054,26
2055,16
2056,10
2057,31
2058,7
2059,13
2060,48
2061,19
2062,19
2063,21
2064,22
2065,39
2066,19
2067,32
2068,28
2069,4
2070,47
2071,35
2072,21
2073,9
2074,15
2075,23
2076,33
2077,54
2078,27
2079,18
2080,19
2081,17
2082,27
2083,10
2084,40
2085,2
2086,23
2087,25
2088,7
2089,31
2090,16
2091,14
2092,29
2093,14
2094,28
2095,16
2096,21
2097,16
2098,29
2099,14
2100,46
2101,14
2102,32
2103,15
2104,16
2105,19
2106,37
2107,14
2108,35
2109,19
2110,28
2111,42
2112,39
2113,24
2114,23
2115,45
2116,22
2117,26
2118,13
2119,37
2120,17
2121,42
2122,27
2123,16
2124,11
2125,24
2126,19
2127,34
2128,18
2129,33
2130,36
2131,30
2132,5
2133,21
2134,22
2135,40
2136,35
2137,22
2138,31
2139,22
2140,9
2141,34
2142,27
2143,26
2144,23
2145,44
2146,25
2147,31
2148,12
2149,34
2150,27
2151,32
2152,34
2153,25
2154,33
2155,39
2156,30
2157,38
2158,21
2159,32
2160,19
2161,24
2162,37
2163,24
2164,18
2165,12
2166,43
2167,20
2168,30
2169,2
2170,27
2171,33
2172,37
2173,39
2174,23
2175,48
2176,35
2177,39
2178,38
2179,26
2180,30
2181,37
2182,27
2183,28
2184,35
2185,38
2186,25
2187,35
2188,36
2189,16
2190,30
2191,31
2192,38
2193,28
2194,28
2195,29
2196,16
2197,10
2198,30
2199,33
2200,34
2201,38
2202,34
2203,32
2204,32
2205,26
2206,31
2207,40
2208,33
2209,50
2210,29
2211,26
2212,10
2213,26
2214,43
2215,15
2216,30
2217,2
2218,7
2219,8
2220,51
2221,43
2222,10
2223,14
2224,15
2225,27
2226,9
2227,3
2228,10
2229,18
2230,12
2231,22
2232,25
2233,6
2234,7
2235,6
2236,21
2237,26
2238,7
2239,15
2240,5
2241,17
2242,2
2243,40
2244,9
2245,16
2246,1
2247,54
2248,36
2249,31
2250,25
2251,8
2252,46
2253,6
2254,17
2255,14
2256,10
2257,36
2258,6
2259,33
2260,26
2261,9
2262,1
2263,35
2264,12
2265,10
2266,15
2267,12
2268,21
2269,18
2270,4
2271,26
2272,13
2273,7
2274,39
2275,5
2276,1
2277,1
2278,12
2279,17
2280,9
2281,13
2282,7
2283,15
2284,15
2285,49
2286,5
2287,22
2288,14
2289,12
2290,23
2291,6
2292,6
2293,27
2294,1
2295,4
2296,26
2297,27
2298,26
2299,14
2300,12
2301,13
2302,15
2303,10
2304,13
2305,13
2306,7
2307,3
2308,3
2309,7
2310,1
2311,11
2312,32
2313,19
2314,5
2315,40
2316,8
2317,8
2318,6
2319,11
2320,22
2321,3
2322,15
2323,7
2324,4
2325,4
2326,8
2327,2
2328,5
2329,7
2330,5
2331,5
2332,28
2333,2
2334,30
2335,16
2336,16
2337,14
2338,27
2339,11
2340,43
2341,27
2342,45
2343,15
2344,9
2345,18
2346,41
2347,18
2348,13
2349,23
2350,11
2351,36
2352,1
2353,45
2354,2
2355,26
2356,17
2357,9
2358,6
2359,1
2360,25
2361,13
2362,9
2363,13
2364,9
2365,16
2366,4
2367,13
2368,11
2369,23
2370,1
2371,9
2372,21
2373,4
2374,35
2375,15
2376,16
2377,19
2378,4
2379,13
2380,11
2381,3
2382,19
2383,7
2384,1
2385,38
2386,15
2387,11
2388,33
2389,12
2390,9
2391,14
2392,3
2393,29
2394,27
2395,43
2396,15
2397,24
2398,10
2399,6
2400,13
2401,14
2402,23
2403,4
2404,3
2405,41
2406,21
2407,20
2408,12
2409,19
2410,7
2411,18
2412,15
2413,2
2414,16
2415,9
2416,14
2417,21
2418,33
2419,33
2420,25
2421,19
2422,12
2423,23
2424,6
2425,23
2426,22
2427,11
2428,40
2429,32
2430,3
2431,11
2432,21
2433,11
2434,21
2435,2
2436,8
2437,12
2438,9
2439,14
2440,30
2441,12
2442,11
2443,9
2444,9
2445,33
2446,8
2447,10
2448,31
2449,12
2450,6
2451,33
2452,3
2453,45
2454,10
2455,17
2456,29
2457,31
2458,1
2459,19
2460,9
2461,15
2462,14
2463,35
2464,16
2465,27
2466,18
2467,12
2468,12
2469,38
2470,14
2471,32
2472,18
2473,33
2474,21
2475,21
2476,35
2477,21
2478,5
2479,20
2480,16
2481,6
2482,39
2483,34
2484,24
2485,4
2486,16
2487,23
2488,18
2489,19
2490,22
2491,51
2492,46
2493,32
2494,35
2495,23
2496,46
2497,21
2498,14
2499,38
2500,33
2501,4
2502,44
2503,25
2504,31
2505,22
2506,17
2507,17
2508,15
2509,11
2510,2
2511,43
2512,18
2513,28
2514,1
2515,12
2516,24
2517,18
2518,14
2519,41
2520,8
2521,5
2522,21
2523,46
2524,4
2525,8
2526,28
2527,34
2528,14
2529,39
2530,8
2531,44
2532,22
2533,57
2534,7
2535,3
2536,50
2537,24
2538,14
2539,22
2540,45
2541,2
2542,12
2543,21
2544,18
2545,3
2546,38
2547,4
2548,28
2549,32
2550,12
2551,15
2552,12
2553,9
2554,55
2555,8
2556,7
2557,17
2558,42
2559,28
2560,34
2561,19
2562,10
2563,9
2564,44
2565,40
2566,3
2567,22
2568,32
2569,35
2570,25
2571,40
2572,48
2573,6
2574,12
2575,31
2576,32
2577,13
2578,2
2579,31
2580,53
2581,26
2582,50
2583,24
2584,20
2585,39
2586,2
2587,25
2588,53
2589,31
2590,13
2591,19
2592,17
2593,22
2594,26
2595,33
2596,32
2597,47
2598,16
2599,43
2600,29
2601,8
2602,36
2603,34
2604,5
2605,17
2606,24
2607,45
2608,9
2609,31
2610,24
2611,47
2612,18
2613,11
2614,20
2615,27
2616,36
2617,36
2618,9
2619,29
2620,11
2621,23
2622,27
2623,14
2624,11
2625,22
2626,20
2627,42
2628,36
2629,41
2630,11
2631,34
2632,31
2633,12
2634,2
2635,15
2636,35
2637,13
2638,15
2639,40
2640,46
2641,11
2642,15
2643,8
2644,13
2645,43
2646,25
2647,23
2648,18
2649,15
2650,17
2651,14
2652,39
2653,32
2654,28
2655,13
2656,53
2657,17
2658,16
2659,35
2660,21
2661,15
2662,6
2663,40
2664,12
2665,32
2666,27
2667,19
2668,17
2669,20
2670,26
2671,14
2672,35
2673,31
2674,23
2675,19
2676,35
2677,35
2678,18
2679,23
2680,17
2681,19
2682,18
2683,49
2684,16
2685,19
2686,29
2687,31
2688,23
2689,31
2690,10
2691,16
2692,5
2693,14
2694,18
2695,26
2696,53
2697,15
2698,13
2699,49
2700,31
2701,22
2702,23
2703,27
2704,27
2705,33
2706,17
2707,14
2708,27
2709,34
2710,20
2711,17
2712,15
2713,19
2714,22
2715,2
2716,15
2717,19
2718,19
2719,19
2720,23
2721,35
2722,4
2723,23
2724,2
2725,15
2726,20
2727,12
2728,16
2729,35
2730,23
2731,27
2732,24
2733,13
2734,3
2735,26
2736,37
2737,15
2738,7
2739,20
2740,6
2741,32
2742,14
2743,26
2744,22
2745,25
2746,15
2747,19
2748,23
2749,15
2750,20
2751,19
2752,16
2753,37
2754,18
2755,27
2756,23
2757,20
2758,38
2759,15
2760,38
2761,32
2762,24
2763,21
2764,16
2765,18
2766,42
2767,28
2768,35
2769,3
2770,14
2771,23
2772,9
2773,12
2774,36
2775,13
2776,25
2777,11
2778,18
2779,2
2780,47
2781,26
2782,2
2783,38
2784,5
2785,39
2786,4
2787,25
2788,5
2789,20
2790,20
2791,15
2792,3
2793,32
2794,50
2795,55
2796,36
2797,21
2798,12
2799,20
2800,14
2801,26
2802,2
2803,14
2804,35
2805,41
2806,39
2807,35
2808,28
2809,6
2810,17
2811,6
2812,29
2813,4
2814,7
2815,7
2816,23
2817,20
2818,40
2819,10
2820,32
2821,32
2822,17
2823,32
2824,34
2825,11
2826,21
2827,8
2828,4
2829,16
2830,26
2831,2
2832,17
2833,20
2834,16
2835,19
2836,8
2837,5
2838,15
2839,11
2840,8
2841,16
2842,6
2843,42
2844,42
2845,28
2846,15
2847,25
2848,28
2849,22
2850,18
2851,6
2852,14
2853,18
2854,25
2855,4
2856,3
2857,4
2858,21
2859,30
2860,28
2861,4
2862,3
2863,16
2864,9
2865,1
2866,3
2867,5
2868,23
2869,8
2870,24
2871,41
2872,1
2873,4
2874,2
2875,47
2876,26
2877,14
2878,8
2879,38
2880,22
2881,16
2882,12
2883,6
2884,15
2885,37
2886,24
2887,12
2888,21
2889,28
2890,21
2891,39
2892,35
2893,2
2894,22
2895,9
2896,33
2897,5
2898,21
2899,27
2900,24
2901,7
2902,28
2903,22
2904,29
2905,13
2906,12
2907,20
2908,26
2909,34
2910,12
2911,3
2912,17
2913,17
2914,7
2915,32
2916,27
2917,19
2918,15
2919,7
2920,20
2921,13
2922,28
2923,17
2924,44
2925,31
2926,33
2927,16
2928,19
2929,13
2930,15
2931,38
2932,30
2933,30
2934,8
2935,4
2936,22
2937,11
2938,14
2939,16
2940,37
2941,38
2942,14
2943,25
2944,5
2945,46
2946,35
2947,12
2948,6
2949,18
2950,33
2951,13
2952,6
2953,33
2954,33
2955,21
2956,8
2957,41
2958,20
2959,10
2960,37
2961,15
2962,12
2963,5
2964,10
2965,6
2966,18
2967,13
2968,14
2969,5
2970,45
2971,34
2972,14
2973,48
2974,30
2975,20
2976,33
2977,21
2978,26
2979,41
2980,5
2981,41
2982,30
2983,4
2984,10
2985,16
2986,33
2987,23
2988,9
2989,32
2990,23
2991,13
2992,11
2993,27
2994,17
2995,33
2996,1
2997,6
