,hot_line,ram,screen_size,cpu_speed,hard_disk,cd_rom,cache,color_of_unit,availability,warranty,software,guarantee,price,task
50,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,2
51,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
52,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,2
53,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,2
54,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,2
55,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,2
56,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,2
57,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,2
58,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,2
59,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,2
60,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,3
61,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,3
62,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,3
63,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,3
64,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,3
65,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,3
66,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,3
67,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,3
68,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,3
69,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,3
70,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,3
71,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
72,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,3
73,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,3
74,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,3
75,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,3
76,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,3
77,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,3
78,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,3
79,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,3
80,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,4
81,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,4
82,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,4
83,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,4
84,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,4
85,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,4
86,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,4
87,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,4
88,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,4
89,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,4
90,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,4
91,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
92,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,4
93,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,4
94,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,4
95,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,4
96,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,4
97,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,4
98,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,4
99,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,4
100,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,5
101,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,5
102,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,5
103,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,5
104,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,5
105,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,5
106,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,5
107,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,5
108,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,5
109,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,5
110,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,5
111,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
112,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,5
113,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,5
114,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,5
115,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,5
116,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,5
117,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,5
118,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,5
119,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,5
120,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,6
121,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,6
122,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,6
123,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,6
124,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,6
125,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,6
126,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,6
127,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,6
128,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,6
129,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,6
130,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,6
131,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6
132,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,6
133,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,6
134,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,6
135,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,6
136,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,6
137,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,6
138,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,6
139,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,6
140,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,7
141,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,7
142,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,7
143,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,7
144,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,7
145,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,7
146,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,7
147,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,7
148,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,7
149,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,7
150,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,7
151,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
152,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,7
153,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,7
154,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,7
155,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,7
156,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,7
157,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,7
158,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,7
159,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,7
160,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,8
161,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,8
162,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,8
163,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,8
164,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,8
165,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,8
166,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,8
167,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,8
168,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,8
169,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,8
170,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,8
171,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
172,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,8
173,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,8
174,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,8
175,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,8
176,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,8
177,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,8
178,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,8
179,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,8
180,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,9
181,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,9
182,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,9
183,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,9
184,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,9
185,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,9
186,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,9
187,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,9
188,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,9
189,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,9
190,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,9
191,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
192,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,9
193,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,9
194,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,9
195,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,9
196,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,9
197,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,9
198,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,9
199,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,9
200,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,10
201,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,10
202,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,10
203,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,10
204,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,10
205,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,10
206,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,10
207,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,10
208,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,10
209,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,10
210,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,10
211,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
212,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,10
213,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,10
214,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,10
215,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,10
216,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,10
217,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,10
218,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,10
219,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,10
220,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,11
221,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,11
222,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,11
223,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,11
224,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,11
225,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,11
226,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,11
227,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,11
228,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,11
229,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,11
230,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,11
231,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
232,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,11
233,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,11
234,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,11
235,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,11
236,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,11
237,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,11
238,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,11
239,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,11
240,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,12
241,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,12
242,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,12
243,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,12
244,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,12
245,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,12
246,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,12
247,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,12
248,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,12
249,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,12
250,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,12
251,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
252,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,12
253,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,12
254,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,12
255,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,12
256,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,12
257,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,12
258,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,12
259,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,12
260,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,13
261,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,13
262,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,13
263,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,13
264,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,13
265,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,13
266,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,13
267,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,13
268,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,13
269,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,13
270,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,13
271,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
272,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,13
273,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,13
274,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,13
275,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,13
276,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,13
277,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,13
278,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,13
279,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,13
280,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,14
281,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,14
282,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,14
283,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,14
284,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,14
285,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,14
286,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,14
287,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,14
288,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,14
289,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,14
290,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,14
291,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14
292,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,14
293,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,14
294,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,14
295,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,14
296,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,14
297,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,14
298,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,14
299,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,14
300,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,15
301,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,15
302,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,15
303,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,15
304,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,15
305,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,15
306,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,15
307,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,15
308,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,15
309,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,15
310,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,15
311,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15
312,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,15
313,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,15
314,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,15
315,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,15
316,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,15
317,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,15
318,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,15
319,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,15
320,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,16
321,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,16
322,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,16
323,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,16
324,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,16
325,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,16
326,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,16
327,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,16
328,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,16
329,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,16
330,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,16
331,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16
332,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,16
333,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,16
334,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,16
335,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,16
336,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,16
337,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,16
338,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,16
339,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,16
340,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,17
341,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,17
342,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,17
343,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,17
344,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,17
345,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,17
346,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,17
347,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,17
348,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,17
349,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,17
350,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,17
351,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
352,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,17
353,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,17
354,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,17
355,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,17
356,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,17
357,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,17
358,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,17
359,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,17
360,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,18
361,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,18
362,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,18
363,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,18
364,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,18
365,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,18
366,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,18
367,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,18
368,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,18
369,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,18
370,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,18
371,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
372,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,18
373,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,18
374,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,18
375,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,18
376,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,18
377,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,18
378,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,18
379,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,18
380,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,19
